Past User Inputs
I want to book a train that goes from Cambridge to Norwich on monday at 7am
I want to book a train that goes from Cambridge to Norwich on monday at 7am
""
bye
I want to book a train to go to Cambridge on sunday
I want to go at 2pm
bye
I want to book a one way train to Cambridge on sunday at 6pm
sunday at 2pm
2pm
one way
bye
bye
I want to book a train
I want to book
I want to book a train
I want to book a train to go to London from Cambridge on sunday at 5pm 
one way
bye
I want to book a one way train to go to London from Cambridge on sunday at 5pm
I want to book a one way ticket to London from Cambridge on sunday at 6pm
I want to book a one way ticket going to London from Cambridge on sunday at 6pm
bye
I want to go to London from Cambridge at 7pm
sunday
one way
bye
I want to go to London from Cambridge at 7pm on sunday
one way
bye
I want to book a train
bye
I want to book a train
I want to go to London from Cambridge on sunday at 7pm
one way
bye
I want to book a one way train going from London to Cambridge at 7pm on sunday
bye
